通し番号,ID,キャラID,キャラ名,場面ID,場面,セリフ
078,chap_hit1_2,chap,チャッピーちゃん,hit1,ダメージ小（元気なとき）,おおー、やるね！
079,chap_hit1_3,chap,チャッピーちゃん,hit1,ダメージ小（元気なとき）,うわっ、あたった！
080,chap_hit1_4,chap,チャッピーちゃん,hit1,ダメージ小（元気なとき）,いいこうげき だったよ！
081,chap_hit2_1,chap,チャッピーちゃん,hit2,ダメージ中（追い込まれてきた）,うわぁ、つよい…！
082,chap_hit2_2,chap,チャッピーちゃん,hit2,ダメージ中（追い込まれてきた）,ぼく、ピンチかも…！
083,chap_hit2_3,chap,チャッピーちゃん,hit2,ダメージ中（追い込まれてきた）,けいさんが はやいね！
084,chap_hit2_4,chap,チャッピーちゃん,hit2,ダメージ中（追い込まれてきた）,あわわ、まけそう！
085,chap_hit3_1,chap,チャッピーちゃん,hit3,ダメージ大（HP30%以下・本気モード）,まだ あきらめないよ！
086,chap_hit3_2,chap,チャッピーちゃん,hit3,ダメージ大（HP30%以下・本気モード）,ここからが ぼくの がんばりどころ！
087,chap_hit3_3,chap,チャッピーちゃん,hit3,ダメージ大（HP30%以下・本気モード）,さいごまで たたかうよ！
088,chap_hit3_4,chap,チャッピーちゃん,hit3,ダメージ大（HP30%以下・本気モード）,うーん、まだ いける！
089,chap_combo_1,chap,チャッピーちゃん,combo,連続で正解された,えっ、れんぞくで 正かい！？
090,chap_combo_2,chap,チャッピーちゃん,combo,連続で正解された,はやいはやい！
091,chap_combo_3,chap,チャッピーちゃん,combo,連続で正解された,すごいよ、そのちょうし！
092,chap_wrong_1,chap,チャッピーちゃん,wrong,プレイヤーが間違えた,おしい！ もういちど！
093,chap_wrong_2,chap,チャッピーちゃん,wrong,プレイヤーが間違えた,あっ、ちがったね。
094,chap_wrong_3,chap,チャッピーちゃん,wrong,プレイヤーが間違えた,ぼくの ばんだよ！
095,chap_wrong_4,chap,チャッピーちゃん,wrong,プレイヤーが間違えた,うーん、ざんねん！
096,chap_timeup_1,chap,チャッピーちゃん,timeup,プレイヤーが時間切れ,時間ぎれ だよー！
097,chap_timeup_2,chap,チャッピーちゃん,timeup,プレイヤーが時間切れ,考えすぎちゃった かな？
098,chap_timeup_3,chap,チャッピーちゃん,timeup,プレイヤーが時間切れ,時計、見ててね！
099,chap_heal_1,chap,チャッピーちゃん,heal,プレイヤーが回復した,あっ、かいふくされた！
100,chap_heal_2,chap,チャッピーちゃん,heal,プレイヤーが回復した,うわぁ、げんきに なっちゃった！
101,chap_heal_3,chap,チャッピーちゃん,heal,プレイヤーが回復した,しぶといなあ！
102,chap_ko_1,chap,チャッピーちゃん,ko,自分が負けた（KO）,まいりました！ つよいね！
103,chap_ko_2,chap,チャッピーちゃん,ko,自分が負けた（KO）,ぼくの まけだよ、おめでとう！
104,chap_ko_3,chap,チャッピーちゃん,ko,自分が負けた（KO）,すごい、かんぺきだった！
105,chap_win_1,chap,チャッピーちゃん,win,自分が勝った,ぼくの かちー！
106,chap_win_2,chap,チャッピーちゃん,win,自分が勝った,また しょうぶ しようね！
107,chap_win_3,chap,チャッピーちゃん,win,自分が勝った,つぎは きっと 勝てるよ！
